"Notes"	"Census Region of Residence"	"Census Region of Residence Code"	"Weekday"	"Weekday Code"	"Delivery Method"	"Delivery Method Code"	Births
	"Census Region 1: Northeast"	"CENS-R1"	"Sunday"	"1"	"Vaginal"	"1"	48134
	"Census Region 1: Northeast"	"CENS-R1"	"Sunday"	"1"	"Cesarean"	"2"	14717
	"Census Region 1: Northeast"	"CENS-R1"	"Sunday"	"1"	"Unknown or Not Stated"	"9"	79
	"Census Region 1: Northeast"	"CENS-R1"	"Monday"	"2"	"Vaginal"	"1"	55734
	"Census Region 1: Northeast"	"CENS-R1"	"Monday"	"2"	"Cesarean"	"2"	32673
	"Census Region 1: Northeast"	"CENS-R1"	"Monday"	"2"	"Unknown or Not Stated"	"9"	88
	"Census Region 1: Northeast"	"CENS-R1"	"Tuesday"	"3"	"Vaginal"	"1"	61644
	"Census Region 1: Northeast"	"CENS-R1"	"Tuesday"	"3"	"Cesarean"	"2"	33539
	"Census Region 1: Northeast"	"CENS-R1"	"Tuesday"	"3"	"Unknown or Not Stated"	"9"	90
	"Census Region 1: Northeast"	"CENS-R1"	"Wednesday"	"4"	"Vaginal"	"1"	63049
	"Census Region 1: Northeast"	"CENS-R1"	"Wednesday"	"4"	"Cesarean"	"2"	32493
	"Census Region 1: Northeast"	"CENS-R1"	"Wednesday"	"4"	"Unknown or Not Stated"	"9"	106
	"Census Region 1: Northeast"	"CENS-R1"	"Thursday"	"5"	"Vaginal"	"1"	62657
	"Census Region 1: Northeast"	"CENS-R1"	"Thursday"	"5"	"Cesarean"	"2"	33372
	"Census Region 1: Northeast"	"CENS-R1"	"Thursday"	"5"	"Unknown or Not Stated"	"9"	90
	"Census Region 1: Northeast"	"CENS-R1"	"Friday"	"6"	"Vaginal"	"1"	62188
	"Census Region 1: Northeast"	"CENS-R1"	"Friday"	"6"	"Cesarean"	"2"	34774
	"Census Region 1: Northeast"	"CENS-R1"	"Friday"	"6"	"Unknown or Not Stated"	"9"	85
	"Census Region 1: Northeast"	"CENS-R1"	"Saturday"	"7"	"Vaginal"	"1"	54401
