(alias) https://tinyurl.com/kff-cig-tax
https://www.kff.org/state-health-policy-data/state-indicator/cigarette-excise-tax/?currentTimeframe=0&selectedRows=%7B%22states%22:%7B%22all%22:%7B%7D%7D%7D&sortModel=%7B%22colId%22:%22Location%22,%22sort%22:%22asc%22%7D
downloaded 17 Feb 2026
edited: dollar signs ($) in second column replaced with blanks
Title: State Cigarette Excise Tax Rates | KFF State Health Facts,,
"Timeframe: as of July 1, 2025",,
Location,State Cigarette Excise Tax Rate (Dollars),Footnotes
Alabama,0.68 ,
Alaska,2.00 ,1
Arizona,2.00 ,
Arkansas,1.15 ,
California,2.87 ,
Colorado,2.24 ,
Connecticut,4.35 ,
Delaware,2.10 ,
District of Columbia,4.50 ,
Florida,1.34 ,
Georgia,0.37 ,
Hawaii,3.20 ,
Idaho,0.57 ,
Illinois,2.98 ,
Indiana,3.00 ,
Iowa,1.36 ,
Kansas,1.29 ,
Kentucky,1.10 ,
Louisiana,1.08 ,
Maine,2.00 ,
Maryland,5.00 ,
Massachusetts,3.51 ,
Michigan,2.00 ,1
Minnesota,3.04 ,1
Mississippi,0.68 ,1
Missouri,0.17 ,
Montana,1.70 ,
Nebraska,0.64 ,
Nevada,1.80 ,
New Hampshire,1.78 ,
New Jersey,2.70 ,
New Mexico,2.00 ,
New York,5.35 ,
North Carolina,0.45 ,
North Dakota,0.44 ,
Ohio,1.60 ,
Oklahoma,2.03 ,
Oregon,3.33 ,
Pennsylvania,2.60 ,
Rhode Island,4.50 ,
South Carolina,0.57 ,
South Dakota,1.53 ,
Tennessee,0.62 ,
Texas,1.41 ,1
Utah,1.70 ,1
Vermont,3.08 ,
Virginia,0.60 ,
Washington,3.03 ,
West Virginia,1.20 ,
Wisconsin,2.52 ,
Wyoming,0.60 ,
Guam,4.00 ,
Northern Mariana Islands,3.75 ,
Puerto Rico,5.10 ,
,,
Notes,,
"Table shows all cigarette tax rates in effect as of July 1, 2025.",,
,,
"The following states have not increased their tax for at least 10 years (since 2015 or earlier): AL, AK, AZ, AR, FL, GA, HI, ID, IA, KS, ME, MA, MI, MS, MO, MT, NE, NV, NH, NJ, NC, ND, OH, SC, SD, TN, TX, UT, VT, WA, WI, WY.",,
,,
"The weighted average price for a pack of cigarettes nationwide is roughly 9.82 (including statewide sales taxes but not local cigarette or sales taxes, other than NYC’s 1.50 per pack cigarette tax), with considerable state-to-state differences because of different state tax rates, and different manufacturer, wholesaler, and retailer pricing and discounting practices.",,
,,
"Nationally, estimated smoking-caused health care costs total 20.52 per pack.",,
,,
Tax rates are per pack of 20 cigarettes.,,
,,
Sources,,
"Campaign for Tobacco Free Kids, [State Cigarette Excise Tax Rates & Rankings](http://www.tobaccofreekids.org/research/factsheets/pdf/0097.pdf), June 20, 2025",,
,,
,,
Footnotes,,
1. State also has special taxes or fees on brands of manufacturers not participating in the state tobacco lawsuit settlements.,,
