Country,Region,Urban,Origin,Year1,Year2,Age,AgeInt,AgeDef,Vitality,   ASFR,Collection,SourceType,   RefCode,Note
    USA,     .,    .,     ., 1969, 1969, 15,     1,   ACY,       1,0.00000,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 16,     1,   ACY,       1,0.00000,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 17,     1,   ACY,       1,0.01903,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 18,     1,   ACY,       1,0.03963,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 19,     1,   ACY,       1,0.07278,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 20,     1,   ACY,       1,0.10003,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 21,     1,   ACY,       1,0.12435,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 22,     1,   ACY,       1,0.15825,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 23,     1,   ACY,       1,0.16726,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 24,     1,   ACY,       1,0.17744,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 25,     1,   ACY,       1,0.18269,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 26,     1,   ACY,       1,0.18756,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 27,     1,   ACY,       1,0.17211,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 28,     1,   ACY,       1,0.16577,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 29,     1,   ACY,       1,0.15478,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 30,     1,   ACY,       1,0.13502,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 31,     1,   ACY,       1,0.12355,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 32,     1,   ACY,       1,0.10987,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 33,     1,   ACY,       1,0.09647,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 34,     1,   ACY,       1,0.08672,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 35,     1,   ACY,       1,0.07572,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 36,     1,   ACY,       1,0.06466,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 37,     1,   ACY,       1,0.05640,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 38,     1,   ACY,       1,0.05117,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 39,     1,   ACY,       1,0.04379,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 40,     1,   ACY,       1,0.03661,        RE,  estimate,    USA_51,   .
