Denmark, Female population exposure by calendar year, age and birth cohort (Lexis triangles)
Last modified: 14/03/2023
Year   Age   Cohort      Exposure
1916    12    1904       15328.63
1916    12    1903       14416.35
1916    13    1903       15095.37
1916    13    1902       14946.48
1916    14    1902       15117.74
1916    14    1901       14120.04
1916    15    1901       14365.62
1916    15    1900       14629.27
1916    16    1900       15245.79
1916    16    1899       14098.00
1916    17    1899       14422.28
1916    17    1898       14016.63
1916    18    1898       14386.62
1916    18    1897       13226.99
1916    19    1897       13693.12
1916    19    1896       13915.19
1916    20    1896       14014.24
1916    20    1895       13091.22
1916    21    1895       13499.17
1916    21    1894       12550.59
1916    22    1894       13084.68
1916    22    1893       12136.77
1916    23    1893       12672.08
1916    23    1892       12244.44
1916    24    1892       12441.56
1916    24    1891       11487.96
1916    25    1891       12000.74
1916    25    1890       11730.86
1916    26    1890       12150.42
1916    26    1889       11515.86
1916    27    1889       11544.30
1916    27    1888       11823.94
1916    28    1888       11847.82
1916    28    1887       11432.97
1916    29    1887       11456.96
1916    29    1886       11171.27
1916    30    1886       11191.11
1916    30    1885       11359.25
1916    31    1885       11362.29
1916    31    1884       11490.93
1916    32    1884       11491.58
1916    32    1883       10456.07
1916    33    1883       10452.79
1916    33    1882       10635.94
1916    34    1882       10626.21
1916    34    1881        9929.69
1916    35    1881        9912.18
1916    35    1880       10302.66
1916    36    1880       10274.78
1916    36    1879        9804.92
1916    37    1879        9771.40
1916    37    1878        9678.88
1916    38    1878        9644.72
1916    38    1877        9352.36
1916    39    1877        9319.21
1916    39    1876        9591.53
1916    40    1876        9558.55
1916    40    1875        9124.86
1916    41    1875        9098.50
1916    41    1874        8388.98
1916    42    1874        8365.56
1916    42    1873        8096.20
1916    43    1873        8071.75
1916    43    1872        8543.06
1916    44    1872        8519.57
1916    44    1871        7346.71
1916    45    1871        7329.36
1916    45    1870        7922.34
1916    46    1870        7910.36
1916    46    1869        7656.01
1916    47    1869        7648.15
1916    47    1868        7481.80
1916    48    1868        7474.95
1916    48    1867        7113.93
1916    49    1867        7100.85
1916    49    1866        7243.99
1916    50    1866        7228.64
1916    50    1865        6894.61
1916    51    1865        6876.83
1916    51    1864        6834.64
1916    52    1864        6810.82
1916    52    1863        6632.46
1916    53    1863        6609.58
1916    53    1862        6266.06
1916    54    1862        6242.77
1916    54    1861        6140.07
1916    55    1861        6115.39
1916    55    1860        6746.03
1917    12    1905       15570.20
1917    12    1904       14787.37
1917    13    1904       15296.06
1917    13    1903       14384.63
1917    14    1903       15059.53
1917    14    1902       14906.26
1917    15    1902       15086.02
1917    15    1901       14086.38
1917    16    1901       14340.38
1917    16    1900       14609.21
1917    17    1900       15219.24
1917    17    1899       14079.72
1917    18    1899       14393.94
1917    18    1898       13998.38
1917    19    1898       14355.70
1917    19    1897       13205.88
1917    20    1897       13656.47
1917    20    1896       13898.76
1917    21    1896       13983.11
1917    21    1895       13083.83
1917    22    1895       13474.79
1917    22    1894       12540.32
1917    23    1894       13066.81
1917    23    1893       12129.92
1917    24    1893       12664.41
1917    24    1892       12244.44
1917    25    1892       12427.44
1917    25    1891       11497.26
1917    26    1891       11976.74
1917    26    1890       11747.58
1917    27    1890       12129.07
1917    27    1889       11526.92
1917    28    1889       11528.13
1917    28    1888       11830.11
1917    29    1888       11827.82
1917    29    1887       11439.97
1917    30    1887       11434.96
