name,census_Apr2020,estimate_July2020,estimate_July2021
Oklahoma,3959353,3962031,3986639
Nebraska,1961504,1961455,1963692
Hawaii,1455271,1451911,1441553
South Dakota,886667,887099,895376
Tennessee,6910840,6920119,6975218
Nevada,3104614,3114071,3143991
New Mexico,2117522,2117566,2115877
Iowa,3190369,3188669,3193079
Kansas,2937880,2935880,2934582
District of Columbia,689545,690093,670050
Texas,29145505,29217653,29527941
Missouri,6154913,6154481,6168187
Arkansas,3011524,3012232,3025891
Michigan,10077331,10067664,10050811
New Hampshire,1377529,1377848,1388992
North Carolina,10439388,10457177,10551162
Ohio,11799448,11790587,11780017
South Carolina,5118425,5130729,5190705
Wyoming,576851,577267,578803
California,39538223,39499738,39237836
North Dakota,779094,778962,774948
Louisiana,4657757,4651203,4624047
Maryland,6177224,6172679,6165129
Delaware,989948,991886,1003384
Pennsylvania,13002700,12989625,12964056
Georgia,10711908,10725800,10799566
Oregon,4237256,4241544,4246155
Minnesota,5706494,5707165,5707390
Colorado,5773714,5784308,5812069
New Jersey,9288994,9279743,9267130
Kentucky,4505836,4503958,4509394
Washington,7705281,7718785,7738692
Maine,1362359,1362280,1372247
Vermont,643077,642495,645570
Idaho,1839106,1847772,1900923
Indiana,6785528,6785644,6805985
Montana,1084225,1086193,1104271
New York,20201249,20154933,19835913
Connecticut,3605944,3600260,3605597
Florida,21538187,21569932,21781128
Virginia,8631393,8632044,8642274
Massachusetts,7029917,7022220,6984723
Illinois,12812508,12785245,12671469
Mississippi,2961279,2956870,2949965
Arizona,7151502,7177986,7276316
Utah,3271616,3281684,3337975
Wisconsin,5893718,5892323,5895908
Alabama,5024279,5024803,5039877
West Virginia,1793716,1789798,1782959
Rhode Island,1097379,1096229,1095610
Alaska,733391,732441,732673
