"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"5-14 years"	"5-14"	"Apr., 2016"	"2016/04"	423	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"May, 2016"	"2016/05"	448	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Jun., 2016"	"2016/06"	488	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Jul., 2016"	"2016/07"	489	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Aug., 2016"	"2016/08"	505	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Sep., 2016"	"2016/09"	415	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Oct., 2016"	"2016/10"	432	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Nov., 2016"	"2016/11"	447	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Dec., 2016"	"2016/12"	454	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Jan., 2017"	"2017/01"	449	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Feb., 2017"	"2017/02"	429	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Mar., 2017"	"2017/03"	513	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Apr., 2017"	"2017/04"	482	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"May, 2017"	"2017/05"	470	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Jun., 2017"	"2017/06"	447	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Jul., 2017"	"2017/07"	537	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Aug., 2017"	"2017/08"	435	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Sep., 2017"	"2017/09"	421	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Oct., 2017"	"2017/10"	443	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Nov., 2017"	"2017/11"	449	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Dec., 2017"	"2017/12"	496	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Jan., 2018"	"2018/01"	502	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Feb., 2018"	"2018/02"	451	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Mar., 2018"	"2018/03"	478	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Apr., 2018"	"2018/04"	441	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"May, 2018"	"2018/05"	474	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Jun., 2018"	"2018/06"	457	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Jul., 2018"	"2018/07"	477	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Aug., 2018"	"2018/08"	446	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Sep., 2018"	"2018/09"	417	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Oct., 2018"	"2018/10"	438	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Nov., 2018"	"2018/11"	415	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Dec., 2018"	"2018/12"	454	Not Applicable	Not Applicable
"Total"	"5-14 years"	"5-14"			121646	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jan., 1999"	"1999/01"	2502	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Feb., 1999"	"1999/02"	2089	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Mar., 1999"	"1999/03"	2499	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Apr., 1999"	"1999/04"	2378	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"May, 1999"	"1999/05"	2638	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jun., 1999"	"1999/06"	2682	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jul., 1999"	"1999/07"	2928	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Aug., 1999"	"1999/08"	2822	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Sep., 1999"	"1999/09"	2501	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Oct., 1999"	"1999/10"	2619	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Nov., 1999"	"1999/11"	2516	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Dec., 1999"	"1999/12"	2482	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jan., 2000"	"2000/01"	2609	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Feb., 2000"	"2000/02"	2200	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Mar., 2000"	"2000/03"	2461	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Apr., 2000"	"2000/04"	2464	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"May, 2000"	"2000/05"	2720	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jun., 2000"	"2000/06"	2781	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jul., 2000"	"2000/07"	2966	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Aug., 2000"	"2000/08"	2790	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Sep., 2000"	"2000/09"	2639	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Oct., 2000"	"2000/10"	2687	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Nov., 2000"	"2000/11"	2480	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Dec., 2000"	"2000/12"	2510	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jan., 2001"	"2001/01"	2491	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Feb., 2001"	"2001/02"	2245	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Mar., 2001"	"2001/03"	2520	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Apr., 2001"	"2001/04"	2630	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"May, 2001"	"2001/05"	2829	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jun., 2001"	"2001/06"	2785	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jul., 2001"	"2001/07"	3005	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Aug., 2001"	"2001/08"	2942	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Sep., 2001"	"2001/09"	2787	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Oct., 2001"	"2001/10"	2766	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Nov., 2001"	"2001/11"	2627	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Dec., 2001"	"2001/12"	2625	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jan., 2002"	"2002/01"	2545	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Feb., 2002"	"2002/02"	2264	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Mar., 2002"	"2002/03"	2833	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Apr., 2002"	"2002/04"	2647	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"May, 2002"	"2002/05"	2852	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jun., 2002"	"2002/06"	2839	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jul., 2002"	"2002/07"	3122	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Aug., 2002"	"2002/08"	2995	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Sep., 2002"	"2002/09"	2891	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Oct., 2002"	"2002/10"	2709	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Nov., 2002"	"2002/11"	2686	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Dec., 2002"	"2002/12"	2663	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jan., 2003"	"2003/01"	2550	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Feb., 2003"	"2003/02"	2326	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Mar., 2003"	"2003/03"	2666	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Apr., 2003"	"2003/04"	2627	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"May, 2003"	"2003/05"	2882	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jun., 2003"	"2003/06"	2992	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jul., 2003"	"2003/07"	3077	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Aug., 2003"	"2003/08"	3119	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Sep., 2003"	"2003/09"	2762	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Oct., 2003"	"2003/10"	2841	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Nov., 2003"	"2003/11"	2885	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Dec., 2003"	"2003/12"	2841	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jan., 2004"	"2004/01"	2811	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Feb., 2004"	"2004/02"	2483	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Mar., 2004"	"2004/03"	2688	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Apr., 2004"	"2004/04"	2616	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"May, 2004"	"2004/05"	2991	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jun., 2004"	"2004/06"	2841	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jul., 2004"	"2004/07"	3147	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Aug., 2004"	"2004/08"	3038	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Sep., 2004"	"2004/09"	2764	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Oct., 2004"	"2004/10"	2750	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Nov., 2004"	"2004/11"	2574	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Dec., 2004"	"2004/12"	2718	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jan., 2005"	"2005/01"	2641	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Feb., 2005"	"2005/02"	2422	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Mar., 2005"	"2005/03"	2817	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Apr., 2005"	"2005/04"	2828	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"May, 2005"	"2005/05"	2898	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jun., 2005"	"2005/06"	2981	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jul., 2005"	"2005/07"	3295	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Aug., 2005"	"2005/08"	3012	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Sep., 2005"	"2005/09"	2797	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Oct., 2005"	"2005/10"	2965	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Nov., 2005"	"2005/11"	2762	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Dec., 2005"	"2005/12"	2816	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jan., 2006"	"2006/01"	2711	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Feb., 2006"	"2006/02"	2489	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Mar., 2006"	"2006/03"	2773	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Apr., 2006"	"2006/04"	2953	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"May, 2006"	"2006/05"	3076	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jun., 2006"	"2006/06"	3069	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jul., 2006"	"2006/07"	3329	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Aug., 2006"	"2006/08"	2982	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Sep., 2006"	"2006/09"	2837	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Oct., 2006"	"2006/10"	3074	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Nov., 2006"	"2006/11"	2776	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Dec., 2006"	"2006/12"	2818	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jan., 2007"	"2007/01"	2786	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Feb., 2007"	"2007/02"	2423	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Mar., 2007"	"2007/03"	2905	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Apr., 2007"	"2007/04"	2853	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"May, 2007"	"2007/05"	2889	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jun., 2007"	"2007/06"	3032	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jul., 2007"	"2007/07"	3133	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Aug., 2007"	"2007/08"	3020	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Sep., 2007"	"2007/09"	2782	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Oct., 2007"	"2007/10"	2771	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Nov., 2007"	"2007/11"	2705	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Dec., 2007"	"2007/12"	2683	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jan., 2008"	"2008/01"	2658	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Feb., 2008"	"2008/02"	2493	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Mar., 2008"	"2008/03"	2647	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Apr., 2008"	"2008/04"	2592	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"May, 2008"	"2008/05"	2719	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jun., 2008"	"2008/06"	2776	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jul., 2008"	"2008/07"	2816	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Aug., 2008"	"2008/08"	2859	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Sep., 2008"	"2008/09"	2679	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Oct., 2008"	"2008/10"	2665	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Nov., 2008"	"2008/11"	2644	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Dec., 2008"	"2008/12"	2650	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jan., 2009"	"2009/01"	2461	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Feb., 2009"	"2009/02"	2253	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Mar., 2009"	"2009/03"	2494	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Apr., 2009"	"2009/04"	2509	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"May, 2009"	"2009/05"	2706	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jun., 2009"	"2009/06"	2601	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jul., 2009"	"2009/07"	2704	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Aug., 2009"	"2009/08"	2756	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Sep., 2009"	"2009/09"	2551	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Oct., 2009"	"2009/10"	2554	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Nov., 2009"	"2009/11"	2411	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Dec., 2009"	"2009/12"	2416	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jan., 2010"	"2010/01"	2317	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Feb., 2010"	"2010/02"	2082	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Mar., 2010"	"2010/03"	2410	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Apr., 2010"	"2010/04"	2447	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"May, 2010"	"2010/05"	2675	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jun., 2010"	"2010/06"	2514	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jul., 2010"	"2010/07"	2749	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Aug., 2010"	"2010/08"	2661	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Sep., 2010"	"2010/09"	2418	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Oct., 2010"	"2010/10"	2579	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Nov., 2010"	"2010/11"	2354	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Dec., 2010"	"2010/12"	2345	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jan., 2011"	"2011/01"	2299	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Feb., 2011"	"2011/02"	2154	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Mar., 2011"	"2011/03"	2444	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Apr., 2011"	"2011/04"	2428	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"May, 2011"	"2011/05"	2583	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jun., 2011"	"2011/06"	2464	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jul., 2011"	"2011/07"	2816	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Aug., 2011"	"2011/08"	2680	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Sep., 2011"	"2011/09"	2452	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Oct., 2011"	"2011/10"	2556	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Nov., 2011"	"2011/11"	2410	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Dec., 2011"	"2011/12"	2381	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jan., 2012"	"2012/01"	2412	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Feb., 2012"	"2012/02"	2121	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Mar., 2012"	"2012/03"	2417	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Apr., 2012"	"2012/04"	2390	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"May, 2012"	"2012/05"	2456	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jun., 2012"	"2012/06"	2577	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jul., 2012"	"2012/07"	2675	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Aug., 2012"	"2012/08"	2514	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Sep., 2012"	"2012/09"	2511	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Oct., 2012"	"2012/10"	2393	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Nov., 2012"	"2012/11"	2334	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Dec., 2012"	"2012/12"	2382	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jan., 2013"	"2013/01"	2403	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Feb., 2013"	"2013/02"	2030	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Mar., 2013"	"2013/03"	2524	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Apr., 2013"	"2013/04"	2244	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"May, 2013"	"2013/05"	2395	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jun., 2013"	"2013/06"	2533	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jul., 2013"	"2013/07"	2595	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Aug., 2013"	"2013/08"	2501	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Sep., 2013"	"2013/09"	2311	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Oct., 2013"	"2013/10"	2306	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Nov., 2013"	"2013/11"	2287	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Dec., 2013"	"2013/12"	2357	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jan., 2014"	"2014/01"	2362	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Feb., 2014"	"2014/02"	2030	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Mar., 2014"	"2014/03"	2399	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Apr., 2014"	"2014/04"	2244	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"May, 2014"	"2014/05"	2360	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jun., 2014"	"2014/06"	2433	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jul., 2014"	"2014/07"	2513	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Aug., 2014"	"2014/08"	2522	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Sep., 2014"	"2014/09"	2340	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Oct., 2014"	"2014/10"	2535	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Nov., 2014"	"2014/11"	2549	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Dec., 2014"	"2014/12"	2504	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jan., 2015"	"2015/01"	2537	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Feb., 2015"	"2015/02"	2073	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Mar., 2015"	"2015/03"	2433	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Apr., 2015"	"2015/04"	2467	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"May, 2015"	"2015/05"	2658	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jun., 2015"	"2015/06"	2633	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jul., 2015"	"2015/07"	2779	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Aug., 2015"	"2015/08"	2776	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Sep., 2015"	"2015/09"	2476	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Oct., 2015"	"2015/10"	2638	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Nov., 2015"	"2015/11"	2455	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Dec., 2015"	"2015/12"	2569	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jan., 2016"	"2016/01"	2471	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Feb., 2016"	"2016/02"	2435	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Mar., 2016"	"2016/03"	2761	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Apr., 2016"	"2016/04"	2582	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"May, 2016"	"2016/05"	2795	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jun., 2016"	"2016/06"	2750	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jul., 2016"	"2016/07"	2870	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Aug., 2016"	"2016/08"	2908	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Sep., 2016"	"2016/09"	2672	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Oct., 2016"	"2016/10"	2769	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Nov., 2016"	"2016/11"	2779	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Dec., 2016"	"2016/12"	2783	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jan., 2017"	"2017/01"	2751	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Feb., 2017"	"2017/02"	2293	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Mar., 2017"	"2017/03"	2684	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Apr., 2017"	"2017/04"	2631	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"May, 2017"	"2017/05"	2898	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jun., 2017"	"2017/06"	2785	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jul., 2017"	"2017/07"	2758	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Aug., 2017"	"2017/08"	2735	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Sep., 2017"	"2017/09"	2597	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Oct., 2017"	"2017/10"	2680	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Nov., 2017"	"2017/11"	2556	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Dec., 2017"	"2017/12"	2657	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jan., 2018"	"2018/01"	2629	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Feb., 2018"	"2018/02"	2255	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Mar., 2018"	"2018/03"	2476	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Apr., 2018"	"2018/04"	2406	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"May, 2018"	"2018/05"	2695	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jun., 2018"	"2018/06"	2622	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Jul., 2018"	"2018/07"	2714	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Aug., 2018"	"2018/08"	2515	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Sep., 2018"	"2018/09"	2537	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Oct., 2018"	"2018/10"	2586	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Nov., 2018"	"2018/11"	2362	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Dec., 2018"	"2018/12"	2357	Not Applicable	Not Applicable
"Total"	"15-24 years"	"15-24"			630892	Not Applicable	Not Applicable
	"25-34 years"	"25-34"	"Jan., 1999"	"1999/01"	3413	Not Applicable	Not Applicable
	"25-34 years"	"25-34"	"Feb., 1999"	"1999/02"	3158	Not Applicable	Not Applicable
	"25-34 years"	"25-34"	"Mar., 1999"	"1999/03"	3408	Not Applicable	Not Applicable
	"25-34 years"	"25-34"	"Apr., 1999"	"1999/04"	3391	Not Applicable	Not Applicable
	"25-34 years"	"25-34"	"May, 1999"	"1999/05"	3528	Not Applicable	Not Applicable
	"25-34 years"	"25-34"	"Jun., 1999"	"1999/06"	3395	Not Applicable	Not Applicable
	"25-34 years"	"25-34"	"Jul., 1999"	"1999/07"	3622	Not Applicable	Not Applicable
	"25-34 years"	"25-34"	"Aug., 1999"	"1999/08"	3516	Not Applicable	Not Applicable
	"25-34 years"	"25-34"	"Sep., 1999"	"1999/09"	3399	Not Applicable	Not Applicable
	"25-34 years"	"25-34"	"Oct., 1999"	"1999/10"	3514	Not Applicable	Not Applicable
	"25-34 years"	"25-34"	"Nov., 1999"	"1999/11"	3218	Not Applicable	Not Applicable
