IPUMS International Data
Analyze Data Online
CHBORN for Sex=2, Age = 45-49

country,year,chborn,n
Kenya,2009,0,19690
Kenya,2009,1,21920
Kenya,2009,2,39490
Kenya,2009,3,60480
Kenya,2009,4,77170
Kenya,2009,5,77960
Kenya,2009,6,76210
Kenya,2009,7,68600
Kenya,2009,8,64490
Kenya,2009,9,43680
Kenya,2009,10,34540
Kenya,2009,11,21570
Kenya,2009,12,12900
Kenya,2009,13,6520
Kenya,2009,14,3810
Kenya,2009,15,4900
Romania,2011,0,62690
Romania,2011,1,160390
Romania,2011,2,200550
Romania,2011,3,59730
Romania,2011,4,24620
Romania,2011,5,12450
Romania,2011,6,5600
Romania,2011,7,2830
Romania,2011,8,1610
Romania,2011,9,1070
Romania,2011,10,680
Romania,2011,11,410
Romania,2011,12,220
Romania,2011,13,210
Romania,2011,14,80
Romania,2011,15,30
Romania,2011,16,30
Peru,2007,0,33080
Peru,2007,1,67820
Peru,2007,2,131670
Peru,2007,3,129980
Peru,2007,4,97690
Peru,2007,5,68150
Peru,2007,6,51200
Peru,2007,7,35200
Peru,2007,8,25980
Peru,2007,9,16730
Peru,2007,10,10490
Peru,2007,11,5020
Peru,2007,12,4120
Peru,2007,13,1490
Peru,2007,14,610
Peru,2007,15,310
Peru,2007,16,60
Switzerland,2000,0,48940
Switzerland,2000,1,39580
Switzerland,2000,2,101840
Switzerland,2000,3,39940
Switzerland,2000,4,12280
Switzerland,2000,5,1940
Switzerland,2000,6,740
Switzerland,2000,7,160
Switzerland,2000,8,120
Switzerland,2000,9,20
Switzerland,2000,10,40
Switzerland,2000,11,20
