div,age,yes,no,niu,total
11,16,1719,33112,153742,188573
11,17,2699,53355,129712,185766
11,18,4762,80905,140042,225709
11,19,6294,94480,115052,215826
11,20,8845,113586,94419,216850
11,21,10238,119709,83232,213179
11,22,13329,125472,67122,205923
11,23,14602,133824,51269,199695
11,24,15321,135760,45610,196691
11,25,17582,142764,49242,209588
11,26,16048,138994,43058,198100
11,27,15898,136837,42079,194814
11,28,15167,130940,42315,188422
11,29,15235,132394,37938,185567
11,30,16630,137274,44020,197924
11,31,13392,135447,40316,189155
11,32,12116,130313,37958,180387
11,33,12107,133707,38310,184124
11,34,10519,130947,37774,179240
11,35,11683,133054,37841,182578
11,36,10074,125442,36784,172300
11,37,9415,125928,37630,172973
11,38,8789,126550,34880,170219
11,39,9005,121907,35232,166144
11,40,10326,132085,37241,179652
11,41,8699,131777,33144,173620
11,42,9307,134003,35262,178572
11,43,7915,139139,38141,185195
11,44,7730,147202,39619,194551
11,45,9101,151253,41534,201888
11,46,7872,149360,42055,199287
11,47,7100,154005,40537,201642
11,48,8343,155737,44974,209054
11,49,8521,161955,45284,215760
11,50,8962,170751,50397,230110
11,51,7375,163512,47888,218775
11,52,8136,161786,50868,220790
11,53,8036,165344,53501,226881
11,54,7780,165839,53699,227318
11,55,8113,161405,54398,223916
11,56,6575,158071,58514,223160
11,57,6734,150974,57305,215013
11,58,6256,146684,59622,212562
11,59,7220,142712,61802,211734
11,60,6306,133276,68161,207743
11,61,6069,119798,70377,196244
11,62,5116,112030,75934,193080
11,63,4300,100262,81728,186290
11,64,3251,87725,86412,177388
11,65,3612,74676,95979,174267
11,66,2053,61153,100072,163278
11,67,2158,53513,99798,155469
11,68,2050,43005,101047,146102
11,69,1313,37104,100258,138675
11,70,1103,32303,106213,139619
11,71,717,25270,93728,119715
11,72,660,20605,87554,108819
11,73,573,17644,84891,103108
11,74,368,15668,79795,95831
11,75,308,12097,75455,87860
11,76,526,10029,69486,80041
11,77,237,8321,68756,77314
11,78,223,7755,69202,77180
11,79,196,5586,61296,67078
11,80,214,4713,62624,67551
11,81,70,3567,58600,62237
11,82,107,3021,56479,59607
