Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,Silent,16074566,17364058,4625780,1078742,1696856,3490307,2198536,4273837,1289492,855047,324046,110399
1989:Q3,BabyBoom,4273327,6068897,2225834,774698,351133,981211,759744,976279,1795570,1336163,432398,27010
1989:Q3,GenX,76247,123761,40341,42910,3649,1677,12057,23126,47514,19481,27763,270
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,16209782,17542419,4647627,1076886,1716731,3583801,2192935,4324439,1332637,895174,325863,111600
1989:Q4,BabyBoom,4398777,6207439,2202373,798690,393220,1001738,784101,1027318,1808663,1334943,448149,25571
1989:Q4,GenX,197440,262873,144317,50199,3600,15856,18218,30683,65434,29999,35273,162
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,16511906,17860181,4818799,1090765,1696028,3595247,2255458,4403883,1348275,920864,313059,114352
1990:Q1,BabyBoom,4338692,6191611,2231069,815025,298617,1063005,758477,1025417,1852919,1387312,438228,27379
1990:Q1,GenX,93436,161307,48410,61338,0,22061,128,29370,67871,26736,41033,102
1990:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q2,Silent,16604099,17979503,4731495,1085376,1805445,3622838,2306014,4428335,1375403,949045,311445,114914
1990:Q2,BabyBoom,4387597,6241341,2244141,836480,258996,1142460,716439,1042824,1853744,1386502,440585,26657
1990:Q2,GenX,181571,288248,161511,70655,0,21489,0,34593,106676,59864,46682,131
1990:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q3,Silent,16777763,18158845,4841635,1098196,1679237,3546484,2397735,4595557,1381082,964604,304201,112278
1990:Q3,BabyBoom,4130687,6055357,2304139,843619,37271,1242589,643681,984060,1924670,1445104,457746,21820
1990:Q3,GenX,111177,198611,40616,74431,0,49186,0,34377,87434,37029,50355,50
1990:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q4,Silent,16937326,18337622,4890924,1108709,1737895,3700959,2301457,4597678,1400296,983449,302621,114226
1990:Q4,BabyBoom,4432061,6405049,2280259,850701,192202,1225848,758528,1097512,1972988,1488085,460734,24169
1990:Q4,GenX,78937,157810,0,79711,0,29890,0,48209,78874,17721,61036,117
1990:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q1,Silent,16870711,18285306,4787807,1106573,1797731,3940871,2129288,4523036,1414595,1005034,293982,115579
1991:Q1,BabyBoom,4967261,6932940,2345532,868988,442092,1141662,912685,1221981,1965680,1502042,437967,25671
1991:Q1,GenX,173405,265907,79601,92267,0,0,28435,65604,92502,22076,70258,169
1991:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q2,Silent,16950464,18372118,4749305,1109487,1839384,3972532,2171661,4529749,1421655,1018981,287863,114812
1991:Q2,BabyBoom,4913506,6911333,2397740,878306,384230,1184121,874595,1192340,1997826,1534588,438402,24836
1991:Q2,GenX,187003,298745,104107,95914,0,23890,11532,63302,111742,36544,75041,157
1991:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q3,Silent,17217835,18645704,4856592,1128502,1929527,4070980,2150533,4509571,1427869,1021718,286948,119203
1991:Q3,BabyBoom,4983550,7026045,2426943,877669,451117,1191394,867719,1211202,2042495,1572178,440404,29913
1991:Q3,GenX,125821,221246,0,97272,0,38566,16104,69304,95425,20073,75148,205
1991:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q4,Silent,17191769,18638099,4776054,1135720,2004582,4238304,2040370,4443070,1446330,1033298,288877,124155
1991:Q4,BabyBoom,5492550,7573973,2524318,883257,732981,1175647,933963,1323806,2081422,1598624,446504,36295
1991:Q4,GenX,243812,359718,48708,98412,72366,19872,46277,74083,115906,35434,80200,272
1991:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q1,Silent,17186986,18631978,4704273,1129393,2026776,4229347,2097892,4444297,1444992,1042091,279938,122963
1992:Q1,BabyBoom,5558799,7621485,2572792,900229,684108,1297423,898607,1268326,2062687,1589327,438713,34646
1992:Q1,GenX,277049,428380,168450,102473,41169,14041,30325,71921,151331,76303,74703,325
1992:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q2,Silent,17356120,18810884,4694372,1129770,2118326,4229684,2185873,4452858,1454764,1052410,277659,124694
1992:Q2,BabyBoom,5495221,7567350,2566770,915928,634781,1425592,801554,1222725,2072129,1591380,441451,39298
1992:Q2,GenX,262794,433899,217350,107381,1681,19169,17337,70981,171106,96904,73222,979
1992:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q3,Silent,17685217,19147172,4812254,1158786,2185797,4279528,2256461,4454345,1461955,1065445,275359,121151
1992:Q3,BabyBoom,5584393,7733746,2642908,911531,688412,1524302,732985,1233608,2149353,1660623,445902,42827
1992:Q3,GenX,194864,345886,108826,101225,5820,22168,20784,87063,151022,69258,80673,1092
1992:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q4,Silent,17541470,18990062,4800981,1156235,2212519,4330531,2100868,4388927,1448591,1047675,275753,125163
1992:Q4,BabyBoom,6195801,8390932,2728101,920914,924891,1639120,867993,1309913,2195131,1695260,460151,39720
1992:Q4,GenX,326005,513475,113933,116106,115298,21819,35270,111049,187470,97418,88866,1186
1992:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q1,Silent,17278912,18711953,4506355,1115872,2267108,4388459,2062999,4371160,1433042,1034461,267296,131284
1993:Q1,BabyBoom,6479801,8612657,2726575,955297,974448,1683143,936072,1337123,2132856,1642749,448222,41885
1993:Q1,GenX,618862,889261,421136,135231,135529,58384,40478,98503,270399,176978,91743,1678
1993:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q2,Silent,17349439,18764870,4518488,1120945,2286721,4414470,2046909,4377338,1415430,1020539,262695,132196
1993:Q2,BabyBoom,6671110,8862101,2823764,966258,1009037,1751704,988268,1323070,2190990,1694561,455645,40784
