SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,PPOPCHG_2015,PPOPCHG_2016,PPOPCHG_2017,PPOPCHG_2018,NRANK_ESTBASE2010,NRANK_POPEST2010,NRANK_POPEST2011,NRANK_POPEST2012,NRANK_POPEST2013,NRANK_POPEST2014,NRANK_POPEST2015,NRANK_POPEST2016,NRANK_POPEST2017,NRANK_POPEST2018,NRANK_NPCHG2010,NRANK_NPCHG2011,NRANK_NPCHG2012,NRANK_NPCHG2013,NRANK_NPCHG2014,NRANK_NPCHG2015,NRANK_NPCHG2016,NRANK_NPCHG2017,NRANK_NPCHG2018,NRANK_PPCHG2010,NRANK_PPCHG2011,NRANK_PPCHG2012,NRANK_PPCHG2013,NRANK_PPCHG2014,NRANK_PPCHG2015,NRANK_PPCHG2016,NRANK_PPCHG2017,NRANK_PPCHG2018
10,0,0,0,United States,308758105,309326085,311580009,313874218,316057727,318386421,320742673,323071342,325147121,327167434,567980,2253924,2294209,2183509,2328694,2356252,2328669,2075779,2020313,0.183956305,0.728656298,0.736314569,0.695663701,0.736793883,0.740060456,0.726024067,0.642514123,0.621353495,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
20,1,0,0,Northeast Region,55318430,55380645,55600532,55776729,55907823,56015864,56047587,56058789,56072676,56111079,62215,219887,176197,131094,108041,31723,11202,13887,38403,0.112467039,0.397046658,0.316898047,0.235033503,0.193248448,0.056632171,0.019986588,0.024772208,0.068487903,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4
20,2,0,0,Midwest Region,66929743,66974749,67152631,67336937,67564135,67752238,67869139,67996917,68156035,68308744,45006,177882,184306,227198,188103,116901,127778,159118,152709,0.067243647,0.26559562,0.274458346,0.337404714,0.278406584,0.172541902,0.188271138,0.234007668,0.224057928,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3
20,3,0,0,South Region,114563045,114867066,116039399,117271075,118393244,119657737,121037542,122401186,123598424,124753948,304021,1172333,1231676,1122169,1264493,1379805,1363644,1197238,1155524,0.265374406,1.02059976,1.061429144,0.956901777,1.068044896,1.153126438,1.12662896,0.978126143,0.934901888,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,4,0,0,West Region,71946887,72103625,72787447,73489477,74192525,74960582,75788405,76614450,77319986,77993663,156738,683822,702030,703048,768057,827823,826045,705536,673677,0.217852372,0.948387824,0.964493232,0.956664857,1.03522154,1.104344414,1.089935855,0.920891555,0.871284431,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
40,3,6,1,Alabama,4780138,4785448,4798834,4815564,4830460,4842481,4853160,4864745,4875120,4887871,5310,13386,16730,14896,12021,10679,11585,10375,12751,0.111084659,0.279723027,0.348626354,0.30933033,0.248858287,0.220527453,0.238710449,0.213269144,0.261552536,23,23,23,23,23,23,24,24,24,24,28,32,26,31,32,30,28,31,27,37,38,34,33,35,36,34,34,34
40,4,9,2,Alaska,710249,713906,722038,730399,737045,736307,737547,741504,739786,737438,3657,8132,8361,6646,-738,1240,3957,-1718,-2348,0.514889849,1.139085538,1.157972295,0.909913623,-0.100129571,0.168408015,0.536508182,-0.231691265,-0.317389083,47,47,47,47,47,48,48,48,48,48,32,39,40,42,47,42,37,44,45,2,8,11,18,48,37,22,46,49
40,4,8,4,Arizona,6392288,6407774,6473497,6556629,6634999,6733840,6833596,6945452,7048876,7171646,15486,65723,83132,78370,98841,99756,111856,103424,122770,0.242260674,1.025675999,1.284189983,1.195278854,1.489691257,1.48141328,1.636854154,1.489089551,1.741696123,16,16,16,15,15,15,14,14,14,14,11,10,7,5,4,7,7,7,4,15,10,7,7,7,9,9,6,4
40,3,7,5,Arkansas,2916028,2921978,2940407,2952109,2959549,2967726,2978407,2990410,3002997,3013825,5950,18429,11702,7440,8177,10681,12003,12587,10828,0.20404468,0.630702901,0.397972118,0.252023215,0.276292097,0.359905193,0.403000664,0.420912183,0.360573121,32,32,32,32,32,32,33,32,32,33,26,25,35,41,37,29,27,26,30,22,28,31,38,31,30,26,24,28
40,4,9,6,California,37254523,37320903,37641823,37960782,38280824,38625139,38953142,39209127,39399349,39557045,66380,320920,318959,320042,344315,328003,255985,190222,157696,0.178179707,0.859893449,0.847352691,0.843085899,0.899445111,0.84919565,0.657161366,0.485147247,0.400250268,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,26,17,19,20,16,16,20,23,25
40,4,8,8,Colorado,5029316,5048281,5121771,5193721,5270482,5351218,5452107,5540921,5615902,5695564,18965,73490,71950,76761,80736,100889,88814,74981,79662,0.377089052,1.455743054,1.404787524,1.477957711,1.531852305,1.885346476,1.628984904,1.353222686,1.418507659,22,22,22,22,22,22,22,21,21,21,8,9,9,6,8,6,8,8,8,6,4,5,5,4,4,10,8,7
40,1,1,9,Connecticut,3574147,3579125,3588023,3594395,3594915,3594783,3587509,3578674,3573880,3572665,4978,8898,6372,520,-132,-7274,-8835,-4794,-1215,0.139277987,0.248608249,0.177590835,0.014466969,-0.003671853,-0.202348793,-0.246271159,-0.133960232,-0.033996665,29,29,29,29,29,29,29,29,29,29,30,38,44,48,46,49,48,46,44,30,42,43,50,46,50,48,44,43
40,3,5,10,Delaware,897934,899595,907316,915188,923638,932596,941413,949216,957078,967171,1661,7721,7872,8450,8958,8817,7803,7862,10093,0.184980188,0.858275113,0.867613929,0.923307561,0.969860487,0.945425458,0.828860447,0.828262482,1.054563996,45,45,45,45,45,45,45,45,45,45,43,41,41,39,34,32,34,33,32,24,18,18,17,13,15,16,17,12
40,3,5,11,District of Columbia,601766,605085,619602,634725,650431,662513,675254,686575,695691,702455,3319,14517,15123,15706,12082,12741,11321,9116,6764,0.551543291,2.399167059,2.440760359,2.474457442,1.857537541,1.923132074,1.676554304,1.327750064,0.972270735,50,50,50,49,49,49,49,49,49,49,34,29,31,30,31,25,30,32,35,1,1,1,2,2,2,7,10,15
40,3,5,12,Florida,18804580,18845785,19093352,19326230,19563166,19860330,20224249,20629982,20976812,21299325,41205,247567,232878,236936,297164,363919,405733,346830,322513,0.21912215,1.313646526,1.21968107,1.225981477,1.518997487,1.832391506,2.006170909,1.681193905,1.537473855,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,19,6,8,6,5,5,2,5,5
40,3,5,13,Georgia,9688709,9711810,9801578,9901496,9973326,10069001,10181111,10304763,10413055,10519475,23101,89768,99918,71830,95675,112110,123652,108292,106420,0.238432179,0.924317918,1.019407283,0.725445933,0.959308861,1.113417309,1.214523641,1.050892679,1.021986343,9,9,9,8,8,8,8,8,8,8,5,5,4,7,5,4,5,6,7,17,12,15,23,14,13,13,15,14
40,4,9,15,Hawaii,1360307,1363963,1379252,1394905,1408453,1414862,1422484,1428105,1424203,1420491,3656,15289,15653,13548,6409,7622,5621,-3902,-3712,0.26876286,1.120924835,1.134890506,0.971248938,0.455038258,0.538709782,0.39515383,-0.273229209,-0.260637002,40,40,40,40,40,40,40,40,40,40,33,27,29,33,41,35,36,45,47,11,9,12,15,28,24,27,48,48
40,4,8,16,Idaho,1567657,1570773,1583828,1595441,1611530,1631479,1651523,1682930,1718904,1754208,3116,13055,11613,16089,19949,20044,31407,35974,35304,0.19876797,0.831119455,0.733223557,1.008435912,1.237891941,1.228578486,1.901699219,2.13758148,2.053866883,39,39,39,39,39,39,39,39,39,39,37,33,36,29,22,20,16,17,17,23,19,24,12,11,12,3,1,2
40,2,3,17,Illinois,12831572,12840762,12867291,12884119,12898269,12888962,12864342,12826895,12786196,12741080,9190,26529,16828,14150,-9307,-24620,-37447,-40699,-45116,0.071620219,0.206599889,0.130781219,0.109825127,-0.072156969,-0.191016158,-0.291091453,-0.317294248,-0.352849276,5,5,5,5,5,5,5,5,6,6,16,22,25,32,51,51,51,50,50,42,45,46,45,47,49,50,49,50
40,2,3,18,Indiana,6484061,6490436,6516045,6537640,6568367,6593533,6608296,6633344,6660082,6691878,6375,25609,21595,30727,25166,14763,25048,26738,31796,0.098318014,0.394565173,0.33141269,0.470001407,0.383139371,0.223901207,0.379038711,0.403084779,0.477411539,15,15,15,16,16,16,16,17,17,17,25,23,22,19,20,24,18,19,18,38,34,36,31,30,35,28,25,24
40,2,4,19,Iowa,3046872,3050767,3066054,3076097,3093078,3109504,3121460,3131785,3143637,3156145,3895,15287,10043,16981,16426,11956,10325,11852,12508,0.127836023,0.501087104,0.32755457,0.552030706,0.531056766,0.384498621,0.330774702,0.378442326,0.397883089,30,30,30,30,30,30,30,30,30,31,31,28,37,26,25,27,32,28,28,33,31,37,29,26,29,29,26,26
40,2,4,20,Kansas,2853126,2858213,2869035,2885361,2893510,2900896,2909502,2911263,2910689,2911505,5087,10822,16326,8149,7386,8606,1761,-574,816,0.178295666,0.378628185,0.569041507,0.282425665,0.255260912,0.296666961,0.060525822,-0.019716529,0.028034599,33,33,33,33,34,34,34,35,35,35,29,35,27,40,38,34,41,42,42,25,36,29,35,34,31,41,42,42
40,3,6,21,Kentucky,4339333,4348200,4369488,4386381,4404817,4414483,4425999,4438229,4453874,4468402,8867,21288,16893,18436,9666,11516,12230,15645,14528,0.20434016,0.489581896,0.386612802,0.420300927,0.21944158,0.2608686,0.276321798,0.35250547,0.326187943,26,26,26,26,26,26,26,26,26,26,18,24,24,24,33,28,26,24,26,21,32,33,32,37,32,32,27,29
40,3,7,22,Louisiana,4533485,4544532,4575184,4600814,4624577,4644204,4664851,4678215,4670818,4659978,11047,30652,25630,23763,19627,20647,13364,-7397,-10840,0.243675671,0.674480893,0.560196049,0.516495559,0.424406384,0.444575647,0.286482891,-0.158115863,-0.232079263,25,25,25,25,25,25,25,25,25,25,14,19,20,22,23,19,25,48,48,14,24,30,30,29,28,31,45,46
40,1,1,23,Maine,1328369,1327632,1328150,1327691,1328196,1330760,1328484,1331370,1335063,1338404,-737,518,-459,505,2564,-2276,2886,3693,3341,-0.055481572,0.039016836,-0.034559349,0.038035959,0.193043798,-0.171030088,0.217240102,0.277383447,0.250250363,41,41,41,41,41,42,42,42,42,42,50,50,50,49,42,47,39,37,38,50,49,50,48,38,48,35,31,35
40,3,5,24,Maryland,5773798,5788642,5838991,5887072,5923704,5958165,5986717,6004692,6024891,6042718,14844,50349,48081,36632,34461,28552,17975,20199,17827,0.257092472,0.869789495,0.823447065,0.62224481,0.581747501,0.479207944,0.300248032,0.336386945,0.29588917,19,19,19,19,19,19,19,19,19,19,12,11,13,16,17,18,20,22,24,13,15,21,27,25,26,30,29,30
40,1,1,25,Massachusetts,6547790,6566431,6613149,6663158,6713944,6763652,6795891,6826022,6863246,6902149,18641,46718,50009,50786,49708,32239,30131,37224,38903,0.284691476,0.711467158,0.756205554,0.762191141,0.740369595,0.47665078,0.443370855,0.545324935,0.566830914,14,14,14,14,14,14,15,15,15,15,9,12,12,11,11,15,17,16,16,8,23,23,22,20,27,24,22,22
40,2,3,26,Michigan,9884117,9877535,9881521,9896930,9913349,9930589,9932573,9951890,9976447,9995915,-6582,3986,15409,16419,17240,1984,19317,24557,19468,-0.066591684,0.040354198,0.155937532,0.165899931,0.173906921,0.019978674,0.194481329,0.246757149,0.195139612,8,8,8,9,9,10,10,10,10,10,51,45,30,28,24,41,19,20,22,51,48,45,43,39,42,37,33,38
40,2,4,27,Minnesota,5303925,5310843,5345668,5376550,5413693,5451522,5482503,5523409,5568155,5611179,6918,34825,30882,37143,37829,30981,40906,44746,43024,0.130431709,0.655733939,0.577701421,0.690833341,0.69876515,0.568300009,0.746119063,0.810115637,0.77267964,21,21,21,21,21,21,21,22,22,22,23,16,17,15,16,17,15,15,15,32,27,28,24,23,23,19,18,18
40,3,6,28,Mississippi,2968118,2970536,2978470,2983767,2988797,2990623,2988693,2988298,2989663,2986530,2418,7934,5297,5030,1826,-1930,-395,1365,-3133,0.081465764,0.267089845,0.177842987,0.168578847,0.061094815,-0.064535048,-0.01321648,0.045678175,-0.10479442,31,31,31,31,31,31,31,33,33,34,39,40,45,45,43,46,44,38,46,41,39,42,42,45,47,44,40,44
40,2,4,29,Missouri,5988952,5995976,6009641,6024081,6040658,6056293,6071745,6087203,6108612,6126452,7024,13665,14440,16577,15635,15452,15458,21409,17840,0.117282623,0.227902847,0.240280576,0.275178903,0.258829419,0.255139571,0.254589084,0.351705044,0.292046704,18,18,18,18,18,18,18,18,18,18,22,31,33,27,26,22,23,21,23,35,44,40,36,33,33,33,28,31
40,4,8,30,Montana,989409,990722,997221,1003754,1013564,1021891,1030503,1040863,1053090,1062305,1313,6499,6533,9810,8327,8612,10360,12227,9215,0.132705484,0.65598624,0.65512058,0.977331099,0.821556409,0.842751331,1.005334288,1.174698303,0.875043918,44,44,44,44,44,44,44,44,44,43,44,43,43,36,36,33,31,27,33,31,26,27,14,17,17,15,13,17
40,2,4,31,Nebraska,1826305,1829536,1840538,1853323,1865414,1879522,1891507,1905924,1917575,1929268,3231,11002,12785,12091,14108,11985,14417,11651,11693,0.17691459,0.60135466,0.694633852,0.652395724,0.756293241,0.637662129,0.762196492,0.611304543,0.609780582,38,38,38,38,37,37,37,37,37,37,35,34,34,35,29,26,24,29,29,27,29,26,26,19,20,18,20,21
40,4,8,32,Nevada,2700679,2702464,2712799,2744566,2776972,2819012,2868666,2919772,2972405,3034392,1785,10335,31767,32406,42040,49654,51106,52633,61987,0.06609449,0.382428776,1.17100456,1.180733129,1.513879146,1.761397256,1.781524932,1.802640754,2.085415682,35,35,35,35,35,35,35,34,34,32,42,37,16,18,13,13,13,14,10,43,35,10,8,6,6,6,3,1
40,1,1,33,New Hampshire,1316464,1316777,1319815,1323962,1326408,1333223,1336294,1342373,1349767,1356458,313,3038,4147,2446,6815,3071,6079,7394,6691,0.023775812,0.230714844,0.314210704,0.184748505,0.513793644,0.230344061,0.454914862,0.550815608,0.495715186,42,42,42,42,42,41,41,41,41,41,48,46,47,46,40,40,35,34,36,47,43,38,41,27,34,23,21,23
40,1,2,34,New Jersey,8791962,8799624,8827783,8845483,8858362,8866780,8870869,8874516,8888543,8908520,7662,28159,17700,12879,8418,4089,3647,14027,19977,0.087147783,0.320002309,0.200503343,0.145599737,0.095028855,0.046115952,0.041112094,0.158059324,0.224749996,11,11,11,11,11,11,11,11,11,11,21,21,23,34,35,38,38,25,21,40,37,41,44,42,40,43,35,36
40,4,8,35,New Mexico,2059180,2064588,2080395,2087549,2092792,2090342,2090211,2092789,2093395,2095428,5408,15807,7154,5243,-2450,-131,2578,606,2033,0.262628813,0.765624909,0.343877004,0.251155781,-0.11706849,-0.006266917,0.123336831,0.028956574,0.097114974,36,36,36,36,36,36,36,36,36,36,27,26,42,44,49,45,40,41,39,12,21,35,39,49,45,39,41,40
40,1,2,36,New York,19378124,19400080,19498514,19574549,19628043,19656330,19661411,19641589,19590719,19542209,21956,98434,76035,53494,28287,5081,-19822,-50870,-48510,0.113303022,0.50738966,0.389952793,0.273283436,0.144115234,0.025849179,-0.100816773,-0.258991266,-0.247617252,3,3,3,3,3,4,4,4,4,4,7,4,8,10,18,36,50,51,51,36,30,32,37,40,41,46,47,47
40,3,5,37,North Carolina,9535736,9574293,9656754,9749123,9843599,9933944,10033079,10156679,10270800,10383620,38557,82461,92369,94476,90345,99135,123600,114121,112820,0.40434215,0.861275083,0.956522243,0.969071782,0.917804555,0.997942006,1.231924916,1.123605462,1.098453869,10,10,10,10,10,9,9,9,9,9,4,6,5,4,6,8,6,5,5,4,16,17,16,15,14,12,14,10
40,2,4,38,North Dakota,672576,674710,685136,701116,721999,737382,754022,754353,755176,760077,2134,10426,15980,20883,15383,16640,331,823,4901,0.317287563,1.545256481,2.332383644,2.978537075,2.130612369,2.256632248,0.043897923,0.109100116,0.648987786,48,48,48,48,48,47,47,47,47,47,40,36,28,23,27,21,43,40,37,7,3,2,1,1,1,42,38,19
40,2,3,39,Ohio,11536757,11539327,11543463,11548369,11576576,11602973,11617850,11635003,11664129,11689442,2570,4136,4906,28207,26397,14877,17153,29126,25313,0.022276624,0.035842645,0.042500245,0.244250941,0.22802079,0.128217139,0.147643497,0.250330834,0.217015776,7,7,7,7,7,7,7,7,7,7,38,44,46,20,19,23,21,18,19,48,50,48,40,36,39,38,32,37
40,3,7,40,Oklahoma,3751583,3759632,3787821,3818600,3853205,3878367,3909831,3926769,3932640,3943079,8049,28189,30779,34605,25162,31464,16938,5871,10439,0.214549432,0.74978083,0.812577997,0.906222176,0.653014828,0.811269279,0.433215656,0.149512233,0.265445095,28,28,28,28,28,28,28,28,28,28,20,20,18,17,21,16,22,36,31,20,22,22,19,24,18,25,36,33
40,4,9,41,Oregon,3831075,3837532,3871728,3899118,3922908,3964106,4016918,4091404,4146592,4190713,6457,34196,27390,23790,41198,52812,74486,55188,44121,0.168542772,0.891093547,0.70743606,0.610137985,1.050190318,1.33225499,1.854307208,1.348876816,1.064030413,27,27,27,27,27,27,27,27,27,27,24,17,19,21,14,10,9,12,14,28,14,25,28,12,11,4,9,11
40,1,2,42,Pennsylvania,12702873,12711158,12744583,12766827,12776621,12789101,12785759,12783538,12790447,12807060,8285,33425,22244,9794,12480,-3342,-2221,6909,16613,0.065221466,0.262957946,0.174536899,0.076714441,0.097678408,-0.026131626,-0.017370889,0.054046071,0.129886,6,6,6,6,6,6,6,6,5,5,19,18,21,37,30,48,47,35,25,45,40,44,46,41,46,45,39,39
